                   code,    x,     y,    z
00-17-0D-00-00-58-C3-0A, 10.5,  -0.5,  1.5
00-17-0D-00-00-58-C3-D0, 10.5,   2.5,  1.5
00-17-0D-00-00-58-C2-FD, 10.5,   5. ,  1.5
00-17-0D-00-00-58-0E-B8, 10.5,   7.5,  1.5
00-17-0D-00-00-58-C3-BE, 10.5,  10.5,  1.5
00-17-0D-00-00-58-C1-09,  7.5,  10.5,  1.5
00-17-0D-00-00-58-C5-E2,  5. ,  10.5,  1.5
00-17-0D-00-00-58-C2-F6,  2.5,  10.5,  1.5
00-17-0D-00-00-58-0F-EA, -0.5,  10.5,  1.5
00-17-0D-00-00-58-0F-70, -0.5,   7.5,  1.5
00-17-0D-00-00-60-34-5D, -0.5,   5. ,  1.5
00-17-0D-00-00-30-54-3F, -0.5,   2.5,  1.5
00-17-0D-00-00-58-C2-EB, -0.5,  -0.5,  1.5
00-17-0D-00-00-58-C5-F4,  2.5,  -0.5,  1.5
00-17-0D-00-00-58-BB-16,  5. ,  -0.5,  1.5
00-17-0D-00-00-58-C0-B0,  7.5,  -0.5,  1.5
00-17-0D-00-00-58-B7-D3,  7.5,   7.5,  1.5
00-17-0D-00-00-58-D0-27,  2.5,   2.5,  1.5
00-17-0D-00-00-58-C0-CD,  1. ,   9. ,  4. 
00-17-0D-00-00-58-BA-95,  1. ,   9. ,  0.5
